id,image_id,title,artist_title,department_title,category_titles,classification_titles,subject_titles,date_display,place_of_origin
110973,5faa1c97-1e8d-b3b8-8aa9-208aab44e9f0,Figure,Joan Miró,Modern Art,Modern Art,"painting,modern and contemporary art",,1932,Spain
131900,8013d2b1-a3e3-bf7f-b28e-510b0a3efee5,"Judge (Qazi) of Hamadan in a Drunken State, a scene from the Gulistan of Sa'di",,Arts of Asia,Arts of Asia,"gouache,painting,asian art",,about 1550,Bukhara
246868,68e3aab7-f30e-39e1-2f70-25e1cf5ea7f3,Sound Raga (Fall),Evelyn Statsinger,Contemporary Art,"Contemporary Art,Women artists",painting,,1977,
895,fa96ef54-c3b1-8f4d-390a-219f7bc64c4a,Man with Lance Riding through the Snow,Adolphe Schreyer,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,c. 1880,Germany
71248,1f15fc6c-eb8e-38c8-c1fa-95588223bf6c,Flowers,Randall Davey,,,"painting,modern and contemporary art",,1914; before 1914,United States
146997,1cd7aea0-f7a7-b566-52c9-0407bf5c442e,Ice (4),Gerhard Richter,Contemporary Art,Contemporary Art,"oil on canvas,painting,modern and contemporary art",,1989,Germany
25045,69a36139-05ff-c2cc-3316-d97e15606714,Expanding,Adolph Gottlieb,,,"painting,modern and contemporary art",,1962,United States
118694,dbb43155-d06d-be4f-e583-647becae064e,Landscape,Max Ernst,Modern Art,Modern Art,"painting,modern and contemporary art",,1957,United States
217534,7803e1de-cf41-a23e-4025-0e6fd5d41729,Deposition (after Antonio Canova),Bernardino Nocchi,Painting and Sculpture of Europe,Painting and Sculpture of Europe,painting,,1800,Italy
221810,21b72cfc-bc23-8eb3-8ed9-66102a887245,Untitled,Richard Prince,Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting",,1989/90,United States
244013,9379f724-e69d-8bf6-7900-e8f3ab0e767e,Shipwreck near a Rocky Coast,Thomas Birch,Arts of the Americas,Arts of the Americas,"painting,oil on canvas","landscapes,boats",1833,United States
81509,2661329a-3c67-6216-82eb-90c755bb42b8,"Arleux-Palluel, The Bridge of Trysts",Jean Baptiste Camille Corot,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",1871/72,France
48719,2f8c0896-069a-af5b-5aad-adac25b43980,"Robert Hyde, Squire of Hyde",John Singleton Copley,Arts of the Americas,Arts of the Americas,"painting,american arts","fashion,people,portraits",1778,United States
35229,0aaa4cff-d1d8-8241-d230-0cecc9956f39,Saint Agatha,Raphael Vergos,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,About 1500,Spain
16549,c12058f4-188f-c6ed-f0fe-52b32acfb296,Apples and Grapes,Claude Monet,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting","Century of Progress,still life,food,world's fairs,Chicago World's Fairs",1880,France
14574,ba4d7ead-bd10-e02d-6f5f-613050d7062e,Henri Degas and His Niece Lucie Degas (The Artist's Uncle and Cousin),Hilaire Germain Edgar Degas,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting","Century of Progress,portraits,domestic scenes,emotions,families,men,children,world's fairs,Chicago World's Fairs",1875/76,France
8044,8219200f-028c-3eab-c639-75e1428cf0ab,Genre Scenes (Fūzoku byōbu),,Arts of Asia,Arts of Asia,"screen,painting,asian art",,About 1640,Japan
111636,55bed66c-1551-5073-ac7e-3d253dbfd36c,A Boy Named Alligator,Kathleen Blackshear,Arts of the Americas,"SAIC Alumni and Faculty,Women artists,Arts of the Americas","painting,modern and contemporary art","people,portraits",1930,United States
31285,8cb9f5ea-c955-96fd-c2d6-c720b0dbf7d4,Portrait of Mary Adeline Williams,Thomas Eakins,Arts of the Americas,Arts of the Americas,"painting,american arts","fashion,people,portraits",1899,Philadelphia
22153,ffcef98d-6d38-dc75-65e6-cdff009f883c,Water Carriers on the Nile,John Singer Sargent,Arts of the Americas,Arts of the Americas,"painting,american arts",Chicago,1891,United States
80524,59bda4ff-c59a-ed97-5c82-b3b7556693b3,Portrait of a woman,Ferdinand Bol,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",portraits,c.1655,Holland
223342,eec3082f-c6ad-ff4d-d2de-2e4e28e1b876,Overrun,Dan Walsh,Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting",,2012,United States
74699,3c8b9059-bc65-f925-8c59-a9b7bd9f98c6,Houses at Chatou,Maurice de Vlaminck,Modern Art,Modern Art,"oil on canvas,painting,modern and contemporary art","homes,figures (representations),landscapes,trees,buildings",c. 1905,France
65821,254c654f-354a-0f4f-28b5-8eb01a02e95c,Composition (No. 1) Gray-Red,Piet Mondrian,Modern Art,Modern Art,"painting,modern and contemporary art","geometric,red (color),white (color),black (color),grids,lines",1935,Netherlands
53010,fdb0b101-b858-e7f4-26d2-d75a992cd767,Roadsters Old and Young,Jack Butler Yeats,Modern Art,Modern Art,"painting,modern and contemporary art",abstract figures,1956,Ireland
66149,101be232-0ec8-c69c-f2de-c15bf46d6bb9,Still Life (Flowers),Louis Valtat,Modern Art,Modern Art,"painting,modern and contemporary art","flowers,pink (color),yellow (color),still life",n.d.,France
104273,7fe66053-06cf-e765-27c3-fdff1b402acf,Self-Portrait (No. 15),Ivan Albright,Arts of the Americas,"Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","painting,modern and contemporary art","Chicago,people,portraits",1982,United States
78507,de8b304b-8250-78cf-dfa2-5f91458b78f9,"Mrs. John Nicholson (Hannah Duncan) and John Nicholson, Jr.",Charles Willson Peale,Arts of the Americas,Arts of the Americas,"painting,american arts","fashion,children,people,portraits",1790,Philadelphia
81572,37f802ca-7831-14d6-82c6-060d825baabd,"Trouville (Grey and Green, the Silver Sea)",James McNeill Whistler,Arts of the Americas,Arts of the Americas,"painting,american arts","landscapes,transportation,leisure,weather/seasons,water",1865,Trouville
12658,00df5b07-1d76-b1da-93ed-b98bb0700c3d,Mrs. Hugh Morgan and Her Daughter,Angelica Kauffmann,Painting and Sculpture of Europe,"Painting and Sculpture of Europe,Women artists before 1800,Women artists","oil on canvas,painting,european painting",,c. 1771,Switzerland
105462,b4ee4891-5d7b-11ad-93df-2b64e34de991,"The Little Pond, Appledore",Childe Hassam,Arts of the Americas,Arts of the Americas,"painting,american arts","landscapes,weather/seasons,water",1890,New Hampshire
46455,0446f5a0-d4b5-cdbf-46e7-29c2f3d462ca,Roosters and Blossoming Apricots 雄鸡图,Ren Yi,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,Qing dynasty (1644–1911),China
54891,490b43a2-72a0-e246-c716-c305ac9aac48,The Dwarf,Georges Rouault,Modern Art,Modern Art,"oil on canvas,painting,modern and contemporary art","men,eyes,hats",1937,France
120669,dec18f6c-7953-a8df-f629-cf416a1bee05,Seduction Scene on a Terrace by Moonlight,Mughal,Arts of Asia,Arts of Asia,"miniature painting,painting,asian art",,18th century,Murshidabad
191598,f69f84a6-fe67-6692-18b9-54403010c414,Blue Phoenix,Omura Koyo,Arts of Asia,Arts of Asia,"screen,painting",,1921,Japan
199002,a947ecd5-93aa-93d4-4a4d-3aca15a30857,In Memory of My Father,Sylvia Plimack Mangold,Contemporary Art,"Women artists,Contemporary Art","acrylic paintings (visual works),painting","grids,squares,green (color),rulers (people)",1976,
229364,0cb68b62-a531-9b60-4536-c5d35c6ab335,Woman III,Roy Lichtenstein,Contemporary Art,Contemporary Art,painting,,1982,United States
20545,2765aee9-3d78-ec6c-5c66-a1d9dc8173f6,"Rocks at Port-Goulphar, Belle-Île",Claude Monet,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting","landscapes,weather/seasons,water",1886,France
87760,c210a649-8de9-866e-2a5f-0a506a02b19b,"Portrait of Magdalena of Saxony, Wife of Elector Joachim II of Brandenburg","Lucas Cranach, the Elder",Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting",,c. 1529,Germany
65509,75886aaa-002a-2047-a05c-baf73f0ac093,The Feast in the House of Simon,"Domenico Theotokópoulos, called El Greco",Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",1608/14,Spain
46269,5ff756af-75f0-b1e7-60b9-a93440972bd2,"Rukmini Seeks Krishna's Permission to Visit her Brother Rukma, page from a manuscript of the Bhagavata Purana",,Arts of Asia,Arts of Asia,"miniature painting,painting,asian art",,c. 1775,Nepal
64748,50b12a25-63da-2db1-34ea-4bf1d4d082a1,Sunlit Valley,George Inness,Arts of the Americas,Arts of the Americas,"painting,american arts",,1893,United States
40647,5cde06a4-c11d-ab9a-8016-a1644a967a89,Self-Portrait,Eastman Johnson,Arts of the Americas,Arts of the Americas,"painting,american arts",,1889,United States
28876,032420c7-9605-8f39-7180-dc38299f0431,Portrait of a Girl,Francesco Solimena,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,c. 1700,Italy
28899,c014f301-8c67-6d8a-1ef5-5b9752939498,The Dragon and Phoenix Peak of Mount Tianmu,Zhang Feng,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,Qing dynasty (1644–1912); c. 1660,China
16532,c1bede9f-6e2d-7518-21d0-0f56a39a8866,"Pont Saint Michel, Paris",Albert Marquet,Modern Art,Modern Art,"painting,modern and contemporary art","city scenes,rivers,vehicles,bridges",c. 1910,France
203330,b0b312cf-6b99-fc0a-e561-c60a700cf0cc,The Vision of Saint Francis,Lodovico Carracci,Painting and Sculpture of Europe,Painting and Sculpture of Europe,painting,,c. 1602,
16162,1e0cda1e-d7e4-d144-4eda-dff8a9a5b396,Saint John the Baptist in Prison Visited by Two Disciples,Giovanni di Paolo,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"tempera,painting,european painting","Century of Progress,religion,world's fairs,Chicago World's Fairs",1455/60,Italy
230000,8f8d29f3-dafa-b07b-e1a9-03302e948102,The Plague in the Reign of David,Guy-Louis Vernansal,Painting and Sculpture of Europe,Painting and Sculpture of Europe,painting,,1675/1700,
68784,8c63372e-dfd6-ab25-cfc8-a6569f25f0c8,Summer in the Catskills,George Inness,Arts of the Americas,Arts of the Americas,"painting,american arts",landscapes,1867,United States
71771,4f27590e-6751-cb2d-5651-542ef9908150,Winter Landscape,Xie Shichen,Arts of Asia,Arts of Asia,"handscroll,painting,asian art",,Ming dynasty (1368–1644),China
209910,fe455a66-c3c0-7cd0-32e2-b8fd146bb110,Beached Fishing Boats,Jules Achille Noël,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"european painting,painting,france,oil on canvas","fishing,water,sky,clouds,sun,sunset,boats,buildings,coastal scenes,coasts,people,sailing,sailors,towns",,
144969,38bb6be4-223e-af7a-7e18-f9ad0c388d3c,The Interior of the Palm House on the Pfaueninsel Near Potsdam,Carl Blechen,Painting and Sculpture of Europe,"Painting and Sculpture of Europe,Essentials","oil on canvas,painting,european painting","women,leisure,musical instruments,plants,palms,flowers",1834,Germany
184372,de5574eb-11af-16de-123b-d4d44cea94e9,Portrait of Emmanuel Rio,Albert Schindler,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,oil on panel","men,instruments,landscapes,music,plants",1836,Austria
81525,bba8ef2a-2af7-e111-1269-382f38d32fdd,Woman's Head,Albert Besnard,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,c. 1890,France
118657,b93d60cf-b866-21e3-67fc-df1a37b04dba,Acolo,Victor Brauner,Modern Art,Modern Art,"painting,modern and contemporary art",,November 1949,Romania
9550,fd80f85b-229f-e043-aead-5d959e4f51a4,The Dreadful Feast of Flesh,François Arnal,Contemporary Art,Contemporary Art,"painting,modern and contemporary art","celebrations,white (color),black (color),red (color),genitalia,flesh,sex,abstract figures",1957,United States
51797,921038c5-e638-c607-07ed-3b0ebcc4cf90,The Drying After,Bob Thompson,Contemporary Art,"African American artists,African Diaspora,Contemporary Art","painting,modern and contemporary art","women,trees,nudes,abstract figures",1961,United States
206759,380c66cd-9616-c1d2-09e6-002afb657148,From the Ermine to a Chimera in the Abyss (D’hermines à une chimere en abîme),Valentine Hugo,Modern Art,"Modern Art,Women artists",painting,,1935,
44829,118eacd7-3e92-a96d-7b0e-160eb0c0bf20,Polycrates' Crucifixion,Salvator Rosa,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,c. 1664,Italy
16359,7325a7b0-a9f4-6c24-2505-1ee84daa27da,Friar Pedro Clubs El Maragato with the Butt of the Gun,Francisco José de Goya y Lucientes,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",c. 1806,Spain
71264,75454167-e33b-49ee-db9f-78f0831e1c0f,Orvieto,Elliot Torrey,,,"painting,modern and contemporary art",,1908–1911,United States
23294,c98f9ff6-ee78-edb0-f0bd-9da011c4200b,El Mocho,Peter Hurd,Arts of the Americas,Arts of the Americas,"tempera,painting,modern and contemporary art",,1936,United States
46394,4ec451e5-bf13-885d-78c4-e0e24ae34f8c,Melting the Gold and Predicting the Future,Yu Guiyan,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,"Qing dynasty (1644–1911), 1901",China
33781,628faddc-c9b1-8eaf-fdd7-cc6503d7fea7,Turn (2/3),Ron Davis,Contemporary Art,Contemporary Art,"painting,modern and contemporary art","geometric,yellow (color),red (color),green (color),blue (color)",1968,United States
28067,ddacae05-9279-51b5-e9ab-00024ae01e27,The Old Guitarist,Pablo Picasso,Modern Art,"Modern Art,Essentials","oil on panel,painting,modern and contemporary art","Century of Progress,music,portraits,emotions,men,world's fairs,Chicago World's Fairs,guitars,musical instruments,elderly,blue (color)",late 1903–early 1904,Spain
12875,4b08c9e2-6df3-c2ff-da33-bb78d41bde97,Mercury rescues the disguised Io after beheading Argus,Johann Michael Rottmayr,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,c. 1690/95,Austria
66108,febc31a0-7471-4290-393d-c83b8c7bd82e,"Movement: Boats and Objects, Blue Gray Sea",John Marin,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art",landscapes,1947,United States
24681,c0df1fbb-aa55-f109-65ae-a1de5e3707a1,The Diligence,Nicolas Toussaint Charlet,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,c. 1820/23,France
17948,68c1b739-0227-7f85-af61-f384a567143c,Fei Jiang-fang with a Crane,Kanô Tsunenobu,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,Late 17th–early 18th century,Japan
75374,05ec4e8c-b958-f0c9-fa63-3997e0a33de4,"Anna Maria Dashwood, later Marchioness of Ely",Sir Thomas Lawrence,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,c. 1805,England
81533,e9ce5aca-4c34-c8dd-b8a1-91b3e3197211,The Races at Longchamp,Édouard Manet,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting","Century of Progress,animals,work,weather/seasons,leisure,circles,landscapes,world's fairs,Chicago World's Fairs",1866,France
204637,1dab428f-d63d-5fec-5b9c-ed43b5f7f4d6,Green/2 Orange X Painting,Robert Mangold,Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting",,1983,United States
189556,19631cfa-647b-0363-7079-2ea1f8372453,Contemporary de Sade-John Wayne Gacy,Roger Brown,Contemporary Art,"Contemporary Art,Chicago Artists",painting,,1981,United States
27107,a41938e3-8a4e-0fee-a916-458a0c73fca7,Vast Ocean,Günther Uecker,Contemporary Art,Contemporary Art,"construction,painting,modern and contemporary art","abstract shapes,gray (color),white (color)",1964,Germany
238758,d9339418-1874-1ffe-3e58-79d01f5393fe,Taos,Ed Clark,Contemporary Art,"Contemporary Art,African Diaspora,African American artists",painting,African American,1982,
15563,0f07eb70-3818-676a-c047-b1672d0a8277,The Night is Stirring (La nuit remue),Wou-Ki Zao,Contemporary Art,Contemporary Art,"painting,modern and contemporary art","night,red (color),blue (color)",1956,France
142517,7889dbde-6528-68e5-db40-9a5ae819ceb8,Double-Sided Painted Banner (Paubha) with God Shiva and Goddess Durga,,Arts of Asia,Arts of Asia,"painting,asian art",,16th/17th century,Nepal
119115,a66caf23-d8db-3bba-55bd-40c59127c322,The Silence of Night,William Wendt,,,"painting,modern and contemporary art",,1910,United States
257310,254ed3d4-db9b-fa80-6cc4-46eab289dd01,Peau de soleil,Alice Rahon,Modern Art,"Modern Art,Women artists",painting,,1944,
46382,3762151c-77be-f530-12b7-dfb6b5889ec5,Nymphs and Satyrs Drinking,Johann Georg Platzer,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on copper,painting,european painting",,c. 1740,Austria
59974,a1775398-4fc3-0e36-d0dd-dd0587ef4918,Saint Jerome in the Wilderness,Workshop of Paolo Veronese,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,1585/90,Italy
208478,f7eab475-03ab-67ef-c70c-ea92328e200b,The Villa at Meson,Joe Zucker,Contemporary Art,"Contemporary Art,SAIC Alumni and Faculty","paper,watercolor,painting",,2010,United States
10018,c96955c7-879a-8ace-12a0-a416c4d264fe,Dancing Girl,Paul Klee,Modern Art,Modern Art,"painting,modern and contemporary art","abstract figures,dancers,dancing,black (color),green (color),yellow (color),red (color),girls",1940,Germany
2166,0b0b5c15-0633-376b-278e-2660f09b582a,The Wedding at Cana,Giuseppe Maria Crespi,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,c. 1686,Italy
140603,3735b7f0-dc7b-16dd-b208-d48cd4fe815f,Lotus from a Set of Initiation Cards (Tsakali),,Arts of Asia,Arts of Asia,"painting,asian art,ritual objects",,14th/15th century,Tibet
77125,d00e0b44-1e0b-d0bb-0fa9-32fc6cf16ad1,Portrait of Du Jun 杜濬像,Zeng Jing,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,Qing dynasty (1644–1911); 17th century 清朝,China
241047,47718be1-50f9-2d8e-169d-30ae8a7ef45d,Sterrendoek,Jef Geys,Modern Art,Modern Art,"shade,hanging,painting","concentration camps,patterns,prisoners,triangles",1965,
134057,edac05ea-4a88-35c5-07ae-93c31f94ac31,Exotics,Paul Klee,Modern Art,Modern Art,"oil on canvas,painting,modern and contemporary art",,1939,Germany
37384,12b0312f-7db9-98b1-ee15-e5156cd76d8d,Inner eye,Kestutis Edward Zapkus,Contemporary Art,Contemporary Art,"painting,modern and contemporary art","abstract shapes,red (color),orange (color),geometric,circles",1961,United States
66221,51cd17ff-e3c6-1aa3-51da-8a9fa1b94c19,The Courtesans,Leon Golub,Contemporary Art,"Contemporary Art,Chicago Artists,SAIC Alumni and Faculty","painting,modern and contemporary art",abstract figures,c. 1950,United States
53495,c612af6e-f630-487e-5b85-3a15381065fc,A Witches' Sabbath,Cornelis Saftleven,Painting and Sculpture of Europe,"Painting and Sculpture of Europe,Halloween","oil on panel,painting,european painting",,c. 1650,Holland
144355,8c9742df-392c-d50a-1f36-416d29716669,Self-Portrait (for Roy Snow),Susanna Coffey,Contemporary Art,"Women artists,Contemporary Art","painting,modern and contemporary art",,1993,United States
68395,e33dae2e-dd61-2416-6671-0a695ae8a07b,Table at a Café,Juan Gris,Modern Art,Modern Art,"painting,modern and contemporary art","geometric,blue (color),text,abstract shapes",1912,Spain
31600,f8950b7f-b2ad-6f45-bb6a-d278d06a5a83,Earth,Morris Louis,Contemporary Art,Contemporary Art,"painting,modern and contemporary art","abstract shapes,beige (color),yellow (color),green (color),orange (color),brown (color)",1959,United States
2189,8a4e78cf-d284-f262-6c9d-0ad15bc2d43b,Ready-to-Wear,Stuart Davis,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art","blue (color),red (color),black (color),white (color)",1955,United States
79584,ba078c9c-8532-73db-ffbd-bd2bd79eb032,Fête Champêtre,,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,1725/1750,France
42953,b50c59a4-bd4d-b549-8c38-c20a1b30e0df,The Butcher Cart,George Benjamin Luks,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art",cityscapes,1901,United States
105024,76dbc190-65c9-65e0-2d88-1fb52ec86690,Untitled,Larry Poons,Contemporary Art,Contemporary Art,"painting,modern and contemporary art",,1968,United States
100226,1693f1ff-40a4-e0e2-16cd-3d8d055dc266,Daisies,Henri Matisse,Modern Art,Modern Art,"painting,modern and contemporary art","still life,black (color),flowers,pink (color),red (color),tables,vase",1939,France
105474,fbccf7dc-9251-6d0b-1c4b-ef7a08218f64,"Houses on the Fox River, Illinois",Artist unknown,Arts of the Americas,Arts of the Americas,"painting,american arts",,1881/90,United States
43211,0905c8a0-b2f1-b534-fa37-0f1aa016bec5,"Interior of the Oude Kerk, Delft",Emanuel de Witte,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting",,c. 1680,Holland
14630,64c38f6d-f0d5-b553-a27e-3552550f351a,"Venice, Palazzo Dario",Claude Monet,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,modern and contemporary art","landscapes,urban life,water,Century of Progress,world's fairs,Chicago World's Fairs",1908,France
81564,de2ff14c-3655-9cd1-277a-e0ba5e6d8af6,"Husking Bee, Island of Nantucket",Eastman Johnson,Arts of the Americas,Arts of the Americas,"painting,american arts","landscapes,animals",1876,Nantucket Island
78511,52074921-a053-5cee-814a-62baf09ff061,The Juggler,Marc Chagall,,,"painting,modern and contemporary art",,1943,France
104265,92be3ee7-c277-23a2-62b5-a1db3d9d1830,Self-Portrait (No. 7),Ivan Albright,Arts of the Americas,"Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","painting,modern and contemporary art","Chicago,people,portraits",1981,United States
4773,0052fc88-353e-db97-8741-b6b5ec6fb354,Mrs. Jens Wolff,Sir Thomas Lawrence,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting","Century of Progress,portraits,world's fairs,Chicago World's Fairs",1803/15,England
64027,7f0fbb4b-82ff-2f51-f8b0-3dc169fa8144,Still Life: Fruit and Flowers,Paul Theodor van Brussel,,,"oil on panel,painting,european painting",,1787,Holland
73648,34a18ce8-f39d-059a-18c8-932c22fb0a5d,Hand Holding Cloth,Léopold Survage,Modern Art,Modern Art,"painting,modern and contemporary art","hands,landscapes,buildings,wind,trees",1929,France
153701,a3c73ab6-76b7-a016-5bff-ab2bc566d26f,Reclining Woman,Fernand Léger,Modern Art,"Modern Art,Essentials","oil on canvas,painting,modern and contemporary art","women,books,interiors,white (color),black (color),yellow (color),patterns,abstract figures,geometric,reclining",1922,France
50578,1e92bc76-86f8-3b85-740c-af8dc6a9cd2f,Portrait of a Female,Mughal,Arts of Asia,Arts of Asia,"miniature painting,painting,asian art",,17th century,India
36254,3c420b48-dd78-c39b-81bf-dad5552cae7f,His and Hers,Ray Yoshida,Contemporary Art,"Contemporary Art,Chicago Artists,SAIC Alumni and Faculty","painting,modern and contemporary art","abstract figures,dresses,white (color),red (color),blue (color),lines,women,men,couples",1971,United States
28860,bb08408a-0650-380f-4f0f-c3f012d1113e,"Study for ""William Rush Carving His Allegorical Figure of the Schuylkill River""",Thomas Eakins,Arts of the Americas,Arts of the Americas,"painting,american arts","people,portraits",1876/77,United States
32094,0f393afe-c66f-43af-c235-087014be8cf4,Portrait of an Artist,Ary Scheffer,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,c. 1830,Netherlands
59923,1e528894-545f-9fe0-c1a5-288a52cab0df,Woman with a Necklace,Amedeo Modigliani,,,"painting,modern and contemporary art",,1917,Italy
102098,82b1ac6e-de4e-7e80-6bd8-e1f1bb0cb889,Phaeton Driving the Chariot of Phoebus,Unknown artist,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,1475/1500,Italy
68792,3d2d0842-312e-8d48-708b-d6adde0777bf,A Marine,George Inness,Arts of the Americas,Arts of the Americas,"painting,american arts",landscapes,c. 1874/75,United States
87633,ff93ff9f-3a49-581d-f6a3-01c078ff987e,Jacob's Farewell to Benjamin,Follower of Rembrandt van Rijn,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,1650/60,Netherlands
57481,cd900233-7280-b8ef-8427-4ac3223cd200,Dragon (Ryu),Shiryu Morita,Arts of Asia,Arts of Asia,"screen,painting,asian art,furniture",,1965,Japan
87263,2a2991a6-f4e7-3f4e-8be5-47cf21fabab1,Flowers of Autumn and Winter,Suzuki Kiitsu,Arts of Asia,Arts of Asia,"screen,painting,asian art",,19th century,Japan
16174,092be13d-bd52-6125-fe90-56ce21128ab9,Virgin and Child Enthroned with Two Angels Holding a Crown,Ansano Ciampanti,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"tempera,painting,european painting",,1505/15,Italy
243168,6190133c-e944-9c18-76b9-0f584a72abe5,"Portraits of Serafina, Gaetanino and Ciccillo di Ottaiano",Marquis Filippo Petrone,Textiles,Textiles,"embroidery,painting,decorative arts,european decorative arts","portraits: Italian subject,children,family,landscapes,bird",1815,Naples
54757,8077c8ff-93f5-de61-edb9-10185ea85429,Murder Mystery,Margo Hoff,Arts of the Americas,"Women artists,SAIC Alumni and Faculty,Arts of the Americas","painting,modern and contemporary art",,1945,Chicago
13726,6cc65b55-b8d0-2ee0-f37a-7cf6e9797162,The Miraculous Drought,Emil Carlsen,Arts of the Americas,Arts of the Americas,"painting,american arts",,1921,United States
217365,f9d41d25-619e-1ae6-1cbc-ea56c858cc4d,"Passing Through the Opposite of What It Approaches, Chapter 25",R. H.  Quaytman,Contemporary Art,"Contemporary Art,Women artists","acrylic paintings (visual works),painting",,2012,United States
140599,a840adca-56f5-7759-97ea-19595a286b82,Mansion by the River 青櫺歸隱圖,Zhang Yin,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,"Qing dynasty (1644–1911), 1810 清朝",China
93801,6e5c632f-6481-5dfa-b70d-a6510786b4c6,Showcase Doll,Ivan Albright,Arts of the Americas,"Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","painting,modern and contemporary art","still life,Chicago",1931–32,United States
25865,5dca7347-c6dc-24dd-d073-d705b9cdc575,The Herring Net,Winslow Homer,Arts of the Americas,"Essentials,Arts of the Americas","painting,american arts","people,work,weather/seasons,food,water,men,fishing,boats,Century of Progress,world's fairs,Chicago World's Fairs,animals,landscapes,portraits",1885,New England
16313,c7bdf016-c678-e0f0-13d0-eb8196d5159f,Altarpiece from Thuison-les-Abbeville: The Ascension,French School,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",1490/1500,France
229953,4557f691-e3f1-d730-5f29-79b3c3388f57,Landscape with Two Pink Carnations in a Glass Goblet,Albert York,Contemporary Art,Contemporary Art,painting,,1983,United States
104281,9f58fbdd-a5fb-ac05-b9a0-376c32cf16ed,Erratic Exhilaration,Ray Yoshida,Contemporary Art,"Contemporary Art,Chicago Artists,SAIC Alumni and Faculty","painting,modern and contemporary art",,1984,United States
212300,ef637785-df55-adaf-b907-e3e8f59f08d6,The Beach of Les Grands Sables at Le Pouldu,Paul Sérusier,Painting and Sculpture of Europe,Painting and Sculpture of Europe,painting,,1890,
87454,fe547b75-e337-dade-9c38-0d0107d22ea1,Colossal Figure,Leon Golub,Contemporary Art,"Contemporary Art,Chicago Artists,SAIC Alumni and Faculty","painting,modern and contemporary art",,1961,United States
72951,b5d37408-a467-6b70-4bfb-9f2cd382474f,J. Frank Currier (1843–1909),Frank Duveneck,Arts of the Americas,Arts of the Americas,"painting,american arts",,1876,United States
