id,image_id,title,artist_title,department_title,category_titles,classification_titles,subject_titles,date_display,place_of_origin
66152,b4d76d59-5791-949b-5267-b48d40445774,Jeune marseillaise,Charles Camoin,Modern Art,Modern Art,"oil on canvas,painting,modern and contemporary art","portraits,orange (color),pink (color),blue (color),dresses,women",1904/05,France
3541,128c88c2-26a6-3ce4-830b-8578eb878cd9,Young Mother Nursing Her Child,Mary Cassatt,,Women artists,"painting,american arts","mothers,nursing (breast feeding),babies,parents,portraits,emotions,families,women,children",1906,United States
75284,d25dc05e-07ce-09eb-d957-4f1f621a1418,Blue Rafters,Frederic Clay Bartlett,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art","leisure,women,weather/seasons,domestic scenes,everyday life (genre)",c. 1916,United States
93807,4fd1fc33-24d0-0cc0-f148-2fecc6b7409f,Memories of the Past,Ivan Albright,Arts of the Americas,"Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","painting,modern and contemporary art","people,portraits,Chicago",1927,United States
16250,8e391b9f-7a08-424f-6fc0-0861fca9c3c7,Pietà,Cosimo Tura,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"tempera,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",1475/1500,Italy
104268,644a2dc5-cb8b-1f3d-6d61-40f5686c3c5e,Self-Portrait (No. 10),Ivan Albright,Arts of the Americas,"Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","painting,modern and contemporary art","Chicago,people,portraits",1982,United States
150065,44a28230-6bd9-2d07-8ab3-ab453be8e6bd,"The Acroatic Rectangle, Per XIII",Alfred Jensen,Contemporary Art,Contemporary Art,"oil on canvas,painting,modern and contemporary art",,1967,United States
16600,0e94a829-b3b7-8317-b609-d1826f0369f0,Lucie Berard (Child in White),Pierre-Auguste Renoir,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting","Century of Progress,portraits,children,world's fairs,Chicago World's Fairs",1883,France
146918,ab4cb1d2-0f93-c554-39cf-b40cdc461ef9,F House,Edward Joseph Ruscha,Contemporary Art,"Contemporary Art,Halloween","painting,modern and contemporary art",,1987,United States
93554,30df0db9-ad8a-7671-87a9-4bdd1bee9563,Portrait of a Lady of the Wentworth Family (Probably Jane Cheyne),Hans Eworth,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting",,1563,Flanders
